Date,Open,High,Low,Close,Volume,Adj Close,stockName
2015-08-18,121.830002,123.800003,121.150002,122.800003,11021900,120.974232,HD
2015-08-17,119.099998,120.75,118.730003,119.699997,7255600,117.920316,HD
2015-08-14,119.300003,119.889999,118.459999,119.75,5135500,117.969576,HD
2015-08-13,118,120.139999,117.790001,119.019997,6255500,117.250426,HD
2015-08-12,117.129997,117.879997,115.699997,117.690002,4575800,115.940206,HD
2015-08-11,117.019997,118.139999,116.760002,117.690002,4080000,115.940206,HD
2015-08-10,117.529999,118.339996,117.360001,117.599998,3408900,115.85154,HD
2015-08-07,116.699997,117.160004,115.779999,116.93,3986100,115.191504,HD
2015-08-06,118.389999,118.5,116.07,116.559998,4768900,114.827002,HD
2015-08-05,118.379997,118.529999,117.099998,118,4299100,116.245595,HD
2015-08-04,116.629997,117.82,116.25,117.529999,3008200,115.782581,HD
2015-08-03,117.620003,117.699997,116.160004,116.889999,3645000,115.152097,HD
2015-07-31,116.980003,118.129997,116.370003,117.029999,4301200,115.290015,HD
2015-07-30,115.940002,116.739998,115.349998,116.459999,3291100,114.72849,HD
2015-07-29,115.160004,116.760002,115.110001,116.370003,5104000,114.639832,HD
2015-07-28,113.760002,115.029999,113.18,114.839996,4176800,113.132573,HD
2015-07-27,113.370003,113.889999,112.709999,113.07,4468200,111.388893,HD
2015-07-24,114.739998,115.230003,113.43,113.589996,4427800,111.901158,HD
2015-07-23,115.209999,116.110001,114.43,114.589996,4308900,112.88629,HD
2015-07-22,113.959999,115.080002,113.800003,114.900002,5485200,113.191686,HD
2015-07-21,113.410004,113.970001,112.68,113.860001,4660600,112.167148,HD
2015-07-20,112.25,114.110001,112.169998,113.410004,6107500,111.723842,HD
2015-07-17,114.489998,115,114,114.470001,5497600,112.768079,HD
2015-07-16,115.870003,115.910004,113.830002,114.730003,5234800,113.024216,HD
2015-07-15,115.419998,116.150002,115.07,115.580002,3364600,113.861577,HD
2015-07-14,114.5,115.529999,114.389999,115.360001,3688900,113.644846,HD
2015-07-13,114.209999,115.019997,114.07,114.900002,4171900,113.191686,HD
2015-07-10,112.669998,113.480003,112.089996,113.099998,4631400,111.418446,HD
2015-07-09,112.32,112.589996,111.199997,111.379997,3643700,109.724017,HD
2015-07-08,111.720001,112.459999,110.800003,111,3794100,109.34967,HD
2015-07-07,111.720001,112.639999,110.699997,112.400002,5515900,110.728856,HD
2015-07-06,110.269997,111.93,110.169998,111.32,3864700,109.664912,HD
2015-07-02,112.580002,112.75,111.099998,111.489998,3845000,109.832382,HD
2015-07-01,112.449997,112.809998,111.470001,112.07,4216200,110.403761,HD
2015-06-30,111.150002,111.760002,110.589996,111.129997,5938800,109.477734,HD
2015-06-29,111.559998,112.32,110.459999,110.540001,5187400,108.89651,HD
2015-06-26,112.769997,113.339996,112.230003,112.599998,4208500,110.925879,HD
2015-06-25,113.239998,113.709999,112.239998,112.239998,4466300,110.571231,HD
2015-06-24,112.940002,113.68,112.349998,112.349998,3716100,110.679596,HD
2015-06-23,113.239998,113.589996,112.93,113.18,3075900,111.497258,HD
2015-06-22,112.93,113.620003,112.779999,113.07,3190200,111.388893,HD
2015-06-19,111.639999,113.300003,111.440002,112.43,9255100,110.758409,HD
2015-06-18,111.059998,112.300003,110.760002,111.849998,7222600,110.18703,HD
2015-06-17,110.730003,111.290001,109.959999,110.470001,5722200,108.827551,HD
2015-06-16,109.900002,110.449997,109.75,110.230003,3466600,108.591121,HD
2015-06-15,110.230003,110.459999,109.550003,110.010002,3965200,108.374391,HD
2015-06-12,110.889999,111.589996,110.419998,110.599998,4301900,108.955615,HD
2015-06-11,111,112.330002,111,111.290001,3642800,109.635359,HD
2015-06-10,109.900002,111.190002,109.389999,110.980003,3967900,109.32997,HD
2015-06-09,109.790001,110.25,109.029999,109.529999,3659000,107.901524,HD
2015-06-08,110.139999,110.809998,109.830002,109.93,3449000,108.295578,HD
